字段,非空数量,缺失数量,缺失率
日期,20393,0,0.0
股票代码,20393,0,0.0
股票名称,20393,0,0.0
连板数,1078,19315,0.9471387240719855
第一次封板时间,1078,19315,0.9471387240719855
最后封板时间,1078,19315,0.9471387240719855
炸板次数,1078,19315,0.9471387240719855
尾盘是否封板,0,20393,1.0
封单金额_亿元,1078,19315,0.9471387240719855
封单量,0,20393,1.0
封单比,0,20393,1.0
第二日开盘收益,20391,2,9.807286814102878e-05
第二日最高收益,20391,2,9.807286814102878e-05
第二日最低收益,20391,2,9.807286814102878e-05
第二日收盘收益,20391,2,9.807286814102878e-05
第三日收益,20391,2,9.807286814102878e-05
是否连板,20393,0,0.0
涨停类型,1078,19315,0.9471387240719855
第一次封板秒数,1078,19315,0.9471387240719855
最后封板秒数,1078,19315,0.9471387240719855
第一次封板分钟_距0930,1078,19315,0.9471387240719855
最后封板分钟_距0930,1078,19315,0.9471387240719855
首封时间段,1078,19315,0.9471387240719855
炸板次数分组,1078,19315,0.9471387240719855
